Date,Close,High,Low,Open,Volume
2010-01-01,35.64,36.14,35.58,36.14,0
2010-01-04,36.03,36.36,35.77,35.88,829126
2010-01-05,36.33,36.5,35.83,35.86,699990
2010-01-06,36.85,37.96,36.58,36.99,1084242
2010-01-07,38.0,38.26,36.75,36.89,689219
2010-01-08,38.14,38.14,37.68,37.75,326231
2010-01-11,38.26,38.49,38.1,38.37,249302
2010-01-12,38.5,38.51,37.83,37.83,326501
2010-01-13,38.92,38.99,38.13,38.54,683375
2010-01-14,38.69,38.96,38.52,38.9,142479
2010-01-15,37.99,39.41,37.79,39.41,261633
2010-01-18,37.99,39.41,37.79,39.41,0
2010-01-19,38.37,38.38,37.865,37.98,250809
2010-01-20,37.97,38.1,37.39,37.93,251093
2010-01-21,37.49,38.17,37.28,37.97,372052
2010-01-22,36.84,37.7,36.65,37.38,408939
2010-01-25,36.83,37.18,36.48,37.18,282205
2010-01-26,36.47,37.25,36.43,36.59,214247
2010-01-27,36.51,36.55,35.88,36.31,162077
2010-01-28,36.06,36.51,35.28,36.51,228978
2010-01-29,35.78,36.55,35.58,36.14,392532
2010-02-01,36.5,36.62,35.83,36.02,292788
2010-02-02,36.89,37.0,36.47,36.64,281438
2010-02-03,36.95,37.16,36.48,36.67,202496
2010-02-04,35.41,36.73,35.37,36.62,222012
2010-02-05,35.67,35.71,34.75,35.38,241328
2010-02-08,35.25,35.95,35.22,35.6,179462
2010-02-09,35.8,36.2095,34.95,35.75,338536
2010-02-10,35.87,35.95,34.8,35.54,274267
2010-02-11,36.37,36.43,35.44,35.86,244576
2010-02-12,36.72,36.76,36.0,36.04,245219
2010-02-15,36.72,36.76,36.0,36.04,0
2010-02-16,36.93,37.17,36.76,36.97,187111
2010-02-17,37.47,37.48,36.98,37.17,343239
2010-02-18,38.39,38.47,37.34,37.34,255081
2010-02-19,39.0,39.2,38.34,38.39,413139
2010-02-22,38.93,39.08,38.68,39.01,190957
2010-02-23,38.44,38.75,38.16,38.75,226843
2010-02-24,38.83,39.03,38.293,38.68,144185
2010-02-25,39.28,39.3,38.13,38.18,194861
2010-02-26,38.98,39.51,38.8,39.28,476236
2010-03-01,39.48,39.89,39.06,39.09,327797
2010-03-02,40.4,40.5,39.41,39.43,489853
2010-03-03,40.85,41.46,40.4,40.4,426268
2010-03-04,40.62,41.0,40.47,40.85,141158
2010-03-05,41.05,41.25,40.9,40.9,223158
2010-03-08,40.87,41.14,40.72,40.72,223558
2010-03-09,41.55,41.63,40.59,40.84,392037
2010-03-10,41.54,42.03,41.14,41.72,163870
2010-03-11,41.75,41.82,40.92,41.24,385972
2010-03-12,41.93,42.1,41.62,42.0,567005
2010-03-15,41.66,42.0,41.38,41.95,124238
2010-03-16,42.1,42.3,41.6,41.86,161359
2010-03-17,42.37,42.57,42.24,42.24,272155
2010-03-18,42.07,42.38,41.89,42.25,120904
2010-03-19,41.43,42.22,41.37,42.22,324627
2010-03-22,41.83,41.89,41.11,41.21,209250
2010-03-23,42.49,42.5,41.6,41.75,249410
2010-03-24,41.59,42.39,41.59,42.34,176384
2010-03-25,41.12,42.04,41.09,41.96,362974
2010-03-26,41.56,41.76,41.23,41.26,406923
2010-03-29,42.0,42.22,41.525,41.8,296150
2010-03-30,42.24,42.37,41.93,42.17,425644
2010-03-31,42.21,42.38,40.9,41.92,517190
2010-04-01,44.9,45.4,43.09,43.44,1082055
2010-04-02,44.9,45.4,43.09,43.44,0
2010-04-05,46.99,46.99,44.92,45.3,769547
2010-04-06,46.76,46.83,46.33,46.57,323760
2010-04-07,45.82,46.54,45.21,46.51,444002
2010-04-08,45.36,45.57,45.11,45.51,267860
2010-04-09,45.19,45.5,44.74,45.28,237512
2010-04-12,45.35,45.51,44.76,45.2,224891
2010-04-13,45.29,45.5,44.93,45.33,319097
2010-04-14,45.6,45.66,44.84,45.41,240725
2010-04-15,45.23,45.52,44.92,45.32,241157
2010-04-16,44.98,45.19,44.5,45.19,457934
2010-04-19,45.42,45.49,44.64,44.91,445679
2010-04-20,46.44,46.46,45.56,45.56,321897
2010-04-21,46.83,47.04,46.35,46.35,327475
2010-04-22,47.53,47.72,46.1,46.36,272864
2010-04-23,47.56,47.91,47.14,47.61,263376
2010-04-26,47.4,47.91,47.31,47.5,328099
2010-04-27,45.89,47.23,45.67,47.04,520359
2010-04-28,45.76,46.33,45.61,46.06,323614
2010-04-29,46.43,46.48,45.76,46.01,418299
2010-04-30,45.21,46.96,45.2,46.69,272458
2010-05-03,46.08,46.15,44.85,45.53,222812
2010-05-04,44.58,45.31,44.17,45.26,253442
2010-05-05,43.43,44.72,43.34,44.14,379276
2010-05-06,41.62,43.87,38.83,43.02,539475
